date,oil_sentence_count,text,word_count,Stemd_text,Sentiments
1982-06-09,3,stark gash border separates german people,15,stark gash border separ german peopl,negative
1982-06-09,3,economic energy vastly exceeds adversaries,9,econom energi vastli exce adversari,neutral
1982-06-09,3,soil germany every ally vital concern member alliance,19,soil germani everi alli vital concern member allianc,positive
2022-03-01,13,tonight announce united states worked 30 countries release 60 million barrels oil reserves around world,26,tonight announc unit state work 30 countri releas 60 million barrel oil reserv around world,neutral
2022-03-01,13,tonight announce united states worked 30 countries release 60 million barrels oil reserves around world,26,tonight announc unit state work 30 countri releas 60 million barrel oil reserv around world,neutral
2022-03-01,13,tonight announce united states worked 30 countries release 60 million barrels oil reserves around world,26,tonight announc unit state work 30 countri releas 60 million barrel oil reserv around world,neutral
2022-03-01,13,america lead effort releasing 30 million barrels strategic petroleum reserve,15,america lead effort releas 30 million barrel strateg petroleum reserv,neutral
2022-03-01,13,america lead effort releasing 30 million barrels strategic petroleum reserve,15,america lead effort releas 30 million barrel strateg petroleum reserv,neutral
2022-03-01,13,steps help blunt gas prices home,10,step help blunt ga price home,neutral
2022-03-01,13,many families living paycheck paycheck struggling keep rising cost food gas housing much,25,mani famili live paycheck paycheck struggl keep rise cost food ga hous much,positive
2022-03-01,13,fueled efforts vaccinate nation combat covid19,11,fuel effort vaccin nation combat covid19,neutral
2022-03-01,13,secondcut energy costs families average 500 year combatting climate change,15,secondcut energi cost famili averag 500 year combat climat chang,neutral
2022-03-01,13,let us provide investments tax credits weatherize homes businesses energy efficient get tax credit double americas clean energy production solar wind much lower price electric vehicles saving another 80 month never pay gas pump,63,let us provid invest tax credit weather home busi energi effici get tax credit doubl america clean energi product solar wind much lower price electr vehicl save anoth 80 month never pay ga pump,positive
2022-03-01,13,let us provide investments tax credits weatherize homes businesses energy efficient get tax credit double americas clean energy production solar wind much lower price electric vehicles saving another 80 month never pay gas pump,63,let us provid invest tax credit weather home busi energi effici get tax credit doubl america clean energi product solar wind much lower price electr vehicl save anoth 80 month never pay ga pump,positive
2022-03-01,13,frances haugen us tonight shown must hold social media platforms accountable national experiment conducting children profit,30,franc haugen us tonight shown must hold social media platform account nation experi conduct children profit,positive
2022-03-01,13,one stationed bases breathing toxic smoke burn pits incinerated wastes warmedical hazard material jet fuel,25,one station base breath toxic smoke burn pit inciner wast warmed hazard materi jet fuel,negative
1983-09-05,2,memories come back czechoslovakia hungary poland gassing villages afghanistan,13,memori come back czechoslovakia hungari poland gass villag afghanistan,neutral
1983-09-05,2,pleased report canada today suspended aeroflots landing refueling privileges 60 days,17,pleas report canada today suspend aeroflot land refuel privileg 60 day,neutral
2020-03-13,9,immediately called private sector laboratories white house noted charged developing highthroughput quality platform meet needs american public,31,immedi call privat sector laboratori white hous note charg develop highthroughput qualiti platform meet need american public,neutral
2020-03-13,9,based price oil also instructed secretary energy purchase good price large quantities crude oil storage us strategic reserve,33,base price oil also instruct secretari energi purchas good price larg quantiti crude oil storag us strateg reserv,negative
2020-03-13,9,based price oil also instructed secretary energy purchase good price large quantities crude oil storage us strategic reserve,33,base price oil also instruct secretari energi purchas good price larg quantiti crude oil storag us strateg reserv,negative
2020-03-13,9,going fill right top saving american taxpayer billions billions dollars helping oil industry making us even toward wonderful goalwhich achieved nobody thought possibleof energy independence,42,go fill right top save american taxpay billion billion dollar help oil industri make us even toward wonder goalwhich achiev nobodi thought possibleof energi independ,positive
2020-03-13,9,going fill right top saving american taxpayer billions billions dollars helping oil industry making us even toward wonderful goalwhich achieved nobody thought possibleof energy independence,42,go fill right top save american taxpay billion billion dollar help oil industri make us even toward wonder goalwhich achiev nobodi thought possibleof energi independ,positive
2020-03-13,9,price oil went quite bit going fill,16,price oil went quit bit go fill,neutral
2020-03-13,9,q talked buying oil thefrom spr adding spr,15,q talk buy oil thefrom spr ad spr,neutral
2020-03-13,9,guys selling lot toilet paper,10,guy sell lot toilet paper,negative
2020-03-13,9,know seems tony need give guidance toilet paper effective protection getting coronavirus,27,know seem toni need give guidanc toilet paper effect protect get coronaviru,negative
1991-01-16,1,world brutality lawlessness allowed go unchecked kind world going want live listen master sergeant jp kendall 82d airborne price gallon gas,49,world brutal lawless allow go uncheck kind world go want live listen master sergeant jp kendal 82d airborn price gallon ga,negative
2016-05-15,5,today join long line scarlet knights whose energy intellect lifted university heights founders could imagined,25,today join long line scarlet knight whose energi intellect lift univers height founder could imagin,negative
2016-05-15,5,applause place 3dprint prosthetic hands children devise rooftop wind arrays power entire office buildings clean renewable energy,31,applaus place 3dprint prosthet hand children devis rooftop wind array power entir offic build clean renew energi,positive
2016-05-15,5,less dependent foreign oil,6,less depend foreign oil,negative
2016-05-15,5,doubled production clean energy,8,doubl product clean energi,positive
2016-05-15,5,generation much energy adapt impact world said,14,gener much energi adapt impact world said,positive
2009-01-15,2,america gone seven years without another terrorist attack soil,14,america gone seven year without anoth terrorist attack soil,neutral
2009-01-15,2,tribute toil night day keep us safelaw enforcement officers intelligence analysts homeland security diplomatic personnel men women united states armed forces,35,tribut toil night day keep us safelaw enforc offic intellig analyst homeland secur diplomat personnel men women unit state arm forc,neutral
1991-07-31,4,speak briefly spoke cooperating field energy especially area conversion,20,speak briefli spoke cooper field energi especi area convers,neutral
1991-07-31,4,example common energy approach mechanisms administering great significance fate europe process realize,35,exampl common energi approach mechan administ great signific fate europ process realiz,positive
1991-07-31,4,speak briefly spoke cooperating field energy especially area conversion,20,speak briefli spoke cooper field energi especi area convers,neutral
1991-07-31,4,example common energy approach mechanisms administering great significance fate europe process realize,35,exampl common energi approach mechan administ great signific fate europ process realiz,positive
1974-04-29,3,cannot kind business speaking haldeman ehrlichman said boil pricked,24,cannot kind busi speak haldeman ehrlichman said boil prick,positive
1974-04-29,3,prick boil take heat,10,prick boil take heat,neutral
1974-04-29,3,home vital work done moving control inflation develop energy resources strengthen economy americans enjoy since 1956 full prosperity without war without inflation,44,home vital work done move control inflat develop energi resourc strengthen economi american enjoy sinc 1956 full prosper without war without inflat,positive
1975-04-23,5,determined seek selfsufficiency energy urgent national priority,13,determin seek selfsuffici energi urgent nation prioriti,neutral
1975-04-23,5,goal make america independent foreign energy sources 1985,13,goal make america independ foreign energi sourc 1985,negative
1975-04-23,5,thought wellintentioned past could export technology lock stock barrel developing nations,19,thought wellintent past could export technolog lock stock barrel develop nation,negative
1975-04-23,5,food technology money management natural resources energy research developmentall kinds group require organized world society makes maximum effective use worlds resources,33,food technolog money manag natur resourc energi research developmental kind group requir organ world societi make maximum effect use world resourc,positive
1975-04-23,5,challenge engineers audience devise new techniques developing cheap clean plentiful energy byproduct control floods,25,challeng engin audienc devis new techniqu develop cheap clean plenti energi byproduct control flood,positive
2017-01-10,4,insistence rights selfevident never selfexecuting people instrument democracy form perfect unionwhat radical idea great gift founders gave us freedom chase individual dreams sweat toil imagination imperative strive together well achieve common good greater goodfor 240 years nations call citizenship given work purpose new generation,86,insist right selfevid never selfexecut peopl instrument democraci form perfect unionwhat radic idea great gift founder gave us freedom chase individu dream sweat toil imagin imper strive togeth well achiev common good greater goodfor 240 year nation call citizenship given work purpos new gener,positive
2017-01-10,4,8 years halved dependence foreign oil doubled renewable energy led world agreement promise save planet,34,8 year halv depend foreign oil doubl renew energi led world agreement promis save planet,negative
2017-01-10,4,8 years halved dependence foreign oil doubled renewable energy led world agreement promise save planet,34,8 year halv depend foreign oil doubl renew energi led world agreement promis save planet,negative
2017-01-10,4,love jill like family friendship one great joys livesto remarkable staff 8 yearsand whole lot morei drawn energy every day tried reflect back displayed heart character idealism,56,love jill like famili friendship one great joy livesto remark staff 8 yearsand whole lot morei drawn energi everi day tri reflect back display heart charact ideal,positive
1983-03-23,4,half american oil imports pass caribbean,13,half american oil import pass caribbean,negative
1983-03-23,4,bases ethiopia south yemen near persian gulf oil fields,14,base ethiopia south yemen near persian gulf oil field,negative
1983-03-23,4,took office january 1981 appalled found american planes could fly american ships could sail lack spare parts trained personnel insufficient fuel ammunition essential training,43,took offic januari 1981 appal found american plane could fli american ship could sail lack spare part train personnel insuffici fuel ammunit essenti train,neutral
1983-03-23,4,free people could live secure knowledge security rest upon threat instant us retaliation deter soviet attack could intercept destroy strategic ballistic missiles reached soil allies,48,free peopl could live secur knowledg secur rest upon threat instant us retali deter soviet attack could intercept destroy strateg ballist missil reach soil alli,positive
1995-10-16,1,racist parents recoil disgust read national survey gang members saying twothirds feel justified shooting someone simply showing disrespect,35,racist parent recoil disgust read nation survey gang member say twothird feel justifi shoot someon simpli show disrespect,neutral
2004-01-20,2,twentyeight months passed since september 11 2001over two years without attack american soil,16,twentyeight month pass sinc septemb 11 2001over two year without attack american soil,neutral
2004-01-20,2,consumers businesses need reliable supplies energy make economy run urge pass legislation modernize electricity system promote conservation make america less dependent foreign sources energy,37,consum busi need reliabl suppli energi make economi run urg pass legisl modern electr system promot conserv make america less depend foreign sourc energi,negative
1981-06-29,5,president cobb vice chairman kelly alexander executive director benjamin hooks ladies gentlemen platform members board directors ladies gentlemen representatives convention happy talking naacps 72rd annual convention,48,presid cobb vice chairman kelli alexand execut director benjamin hook ladi gentlemen platform member board director ladi gentlemen repres convent happi talk naacp 72rd annual convent,neutral
1981-06-29,5,may platform organization known tolerance would like address remarks groups still adhere senseless racism religious prejudice individuals persist hateful behavior,42,may platform organ known toler would like address remark group still adher senseless racism religi prejudic individu persist hate behavior,negative
1981-06-29,5,sacrificed fought toiled protect right sit back permit barrier come secret ballot citizen makes choice cast,39,sacrif fought toil protect right sit back permit barrier come secret ballot citizen make choic cast,negative
1981-06-29,5,declining economy poisonous gas claims first victims poor neighborhoods floating community large,23,declin economi poison ga claim first victim poor neighborhood float commun larg,negative
1981-06-29,5,talking kind courage questioning chairman margaret bush wilson showed taking heat naacps controversial 1978 energy statementa statement shook elitists country back real world least time,45,talk kind courag question chairman margaret bush wilson show take heat naacp controversi 1978 energi statementa statement shook elitist countri back real world least time,positive
1990-09-11,31,iraq controls 10 percent worlds proven oil reserves,12,iraq control 10 percent world proven oil reserv,neutral
1990-09-11,31,iraq permitted swallow kuwait would economic military power well arrogance intimidate coerce neighborsneighbors control lions share worlds remaining oil reserves,35,iraq permit swallow kuwait would econom militari power well arrog intimid coerc neighborsneighbor control lion share world remain oil reserv,neutral
1990-09-11,31,security council imposed mandatory economic sanctions iraq designed force iraq relinquish spoils illegal conquest,22,secur council impos mandatori econom sanction iraq design forc iraq relinquish spoil illeg conquest,neutral
1990-09-11,31,cut world trade unable sell oil,12,cut world trade unabl sell oil,neutral
1990-09-11,31,help defray costs leaders saudi arabia kuwait uaethe united arab emirateshave pledged provide deployed troops food fuel need,30,help defray cost leader saudi arabia kuwait uaeth unit arab emirateshav pledg provid deploy troop food fuel need,neutral
1990-09-11,31,energyrelated cost borne well,10,energyrel cost born well,neutral
1990-09-11,31,producers including united states continue steps expand oil gas production stabilize prices guarantee hardship,22,produc includ unit state continu step expand oil ga product stabil price guarante hardship,neutral
1990-09-11,31,producers including united states continue steps expand oil gas production stabilize prices guarantee hardship,22,produc includ unit state continu step expand oil ga product stabil price guarante hardship,neutral
1990-09-11,31,additionally several allies always option extract oil strategic petroleum reserves conditions warrant,22,addit sever alli alway option extract oil strateg petroleum reserv condit warrant,neutral
1990-09-11,31,additionally several allies always option extract oil strategic petroleum reserves conditions warrant,22,addit sever alli alway option extract oil strateg petroleum reserv condit warrant,neutral
1990-09-11,31,pointed conservation efforts essential keep energy needs low possible,19,point conserv effort essenti keep energi need low possibl,neutral
1990-09-11,31,must take advantage energy sources across board coal natural gas hydro nuclear,19,must take advantag energi sourc across board coal natur ga hydro nuclear,neutral
1990-09-11,31,must take advantage energy sources across board coal natural gas hydro nuclear,19,must take advantag energi sourc across board coal natur ga hydro nuclear,neutral
1990-09-11,31,failure things made us dependent foreign oil ever,17,failur thing made us depend foreign oil ever,negative
1990-09-11,31,economy armed forces energy dependence cohesion determine whether help friends stand foes,25,economi arm forc energi depend cohes determin whether help friend stand foe,neutral
1990-09-11,31,higher oil prices slow growth higher defense costs would make fiscal deficit problem worse,18,higher oil price slow growth higher defens cost would make fiscal deficit problem wors,positive
1990-09-11,31,americans must never enter crisis economic military excessive dependence foreign oil excessive burden federal debt,24,american must never enter crisi econom militari excess depend foreign oil excess burden feder debt,negative
1990-09-11,31,measures include extending incentives research experimentation expanding use iras new homeowners establishing taxdeferred family savings accounts creating incentives creation enterprise zones initiatives encourage domestic drilling yes reducing tax rate capital gains,46,measur includ extend incent research experiment expand use ira new homeown establish taxdef famili save account creat incent creation enterpris zone initi encourag domest drill ye reduc tax rate capit gain,positive
