date,climate_sentence_count,climate_sentences
1982-06-09,14,"Our method has been to organize our defensive capabilities, both nuclear and conventional, so that an aggressor could have no hope of military victory."
1982-06-09,14,There is a danger that any conflict could escalate to a nuclear war.
1982-06-09,14,Strong conventional forces can make the danger of conventional or nuclear conflict more remote.
1982-06-09,14,"The more we close the conventional gap, the less the risks of aggression or nuclear conflict."
1982-06-09,14,"Your Bundeswehr is a model for the integration of defense needs with a democratic way of life, and you have not shrunk from the heavy responsibility of accepting the nuclear forces necessary for deterrence."
1982-06-09,14,"In recent months, both in your country and mine, there has been renewed public concern about the threat of nuclear war and the arms buildup."
1982-06-09,14,"If I might quote Heine again, he almost foretold the fears of nuclear war when he wrote, ""Wild, dark times are rumbling toward us, and the prophet who wishes to write a new apocalypse will have to invent entirely new beasts, and beasts so terrible that the ancient animal symbols will seem like cooing doves and cupids in comparison."" The nuclear threat is a terrible beast."
1982-06-09,14,Perhaps the banner carried in one of the nuclear demonstrations here in Germany said it best.
1982-06-09,14,It is only by Comparison with a nuclear war that the suffering caused by conventional war seems a lesser evil.
1982-06-09,14,I would remind them that it is the United States that has proposed to ban land-based intermediate-range nuclear missiles-the missiles most threatening to Europe.
1982-06-09,14,One element calls for reducing land-based intermediate-range nuclear missiles to zero on each side.
1982-06-09,14,We will move ahead with our preparations to modernize our nuclear forces in Europe.
1982-06-09,14,"But, again, we also will work unceasingly to gain acceptance in Geneva of our proposal to ban land-based, intermediate-range nuclear missiles."
1982-06-09,14,"In the United States, we will move forward with the plans I announced last year to modernize our strategic nuclear forces, which play so vital a role in maintaining peace by deterring war."
2022-03-01,7, And we’ll do it all to withstand the devastating effects of the climate crisis and promote environmental justice.
2022-03-01,7, And we’ll do it all to withstand the devastating effects of the climate crisis and promote environmental justice.
2022-03-01,7," We’ll build a national network of 500,000 electric vehicle charging stations, begin to replace poisonous lead pipes—so every child—and every American—has clean water to drink at home and at school, provide affordable high-speed internet for every American—urban, suburban, rural, and tribal communities."
2022-03-01,7, Second—cut energy costs for families an average of $500 a year by combatting climate change.
2022-03-01,7,"  Let’s provide investments and tax credits to weatherize your homes and businesses to be energy efficient and you get a tax credit;   Double America’s clean energy production in solar, wind, and so much more;   Lower the price of electric vehicles, saving you another $80 a month because you’ll never have to pay at the gas pump again."
2022-03-01,7,"  Let’s provide investments and tax credits to weatherize your homes and businesses to be energy efficient and you get a tax credit;   Double America’s clean energy production in solar, wind, and so much more;   Lower the price of electric vehicles, saving you another $80 a month because you’ll never have to pay at the gas pump again."
2022-03-01,7,"  Let’s provide investments and tax credits to weatherize your homes and businesses to be energy efficient and you get a tax credit;   Double America’s clean energy production in solar, wind, and so much more;   Lower the price of electric vehicles, saving you another $80 a month because you’ll never have to pay at the gas pump again."
1983-09-05,1,Ambassador Nitze has returned to Geneva to resume the negotiations on intermediate-range nuclear weapons in Europe.
2020-03-13,6,Walgreens.
2020-03-13,6,"CORNELL: Well, Mr. President, thank you for inviting us here today, along with our colleagues from Walmart and Walgreens and our partners at CVS."
2020-03-13,6,"In the near term, we’re all committed to making sure we’re keeping our stores open to serve the American consumer who is rapidly stocking up on household essentials, key food and beverage items that they need during this time; making sure we run safe stores; and creating an environment that’s safe for our team members, making sure that they feel supported during this very critical time."
2020-03-13,6,"Mr. President, I want to join you in thanking Walmart and CVS and Target and Walgreen."
2020-03-13,6,"For the areas where the virus is spreading, the CDC is advising communities to postpone large gatherings, postpone assemblies, social functions, and sporting events; stagger recess and lunch for schools that aren’t canceled; limit in-person meetings; increase scheduled cleanings; and cancel work-sponsored travel—among numerous other steps that can be taken."
2020-03-13,6,"Yeah, specifically the areas where we’re seeing pressure in the supply chain are surface cleaners, cleaning supplies, paper goods, in particular."
1991-01-16,2,We are determined to knock out Saddam Hussein's nuclear bomb potential.
1991-01-16,2," While the world waited, Saddam sought to add to the chemical weapons arsenal he now possesses, an infinitely more dangerous weapon of mass destruction—a nuclear weapon."
2018-02-15,0,
2016-05-15,15," (Applause.)     This is a place where you 3D-print prosthetic hands for children, and devise rooftop wind arrays that can power entire office buildings with clean, renewable energy."
2016-05-15,15," (Applause.)     This is a place where you 3D-print prosthetic hands for children, and devise rooftop wind arrays that can power entire office buildings with clean, renewable energy."
2016-05-15,15," (Applause.)     This is a place where you 3D-print prosthetic hands for children, and devise rooftop wind arrays that can power entire office buildings with clean, renewable energy."
2016-05-15,15, You’re more environmentally conscious.
2016-05-15,15, We’ve doubled the production of clean energy.
2016-05-15,15," The answer is to do trade the right way, by negotiating with other countries so that they raise their labor standards and their environmental standards; and we make sure they don’t impose unfair tariffs on American goods or steal American intellectual property."
2016-05-15,15," It calls to mind the words of Carl Sagan, who graduated high school here in New Jersey -- (applause) -- he said:  “We can judge our progress by the courage of our questions and the depths of our answers, our willingness to embrace what is true rather than what feels good.”  The debate around climate change is a perfect example of this."
2016-05-15,15, (Laughter.)  (The wind starts blowing hard.)  (Laughter.)   But think about the climate change issue.
2016-05-15,15, (Laughter.)  (The wind starts blowing hard.)  (Laughter.)   But think about the climate change issue.
2016-05-15,15," Every day, there are officials in high office with responsibilities who mock the overwhelming consensus of the world’s scientists that human activities and the release of carbon dioxide and methane and other substances are altering our climate in profound and dangerous ways."
2016-05-15,15," Every day, there are officials in high office with responsibilities who mock the overwhelming consensus of the world’s scientists that human activities and the release of carbon dioxide and methane and other substances are altering our climate in profound and dangerous ways."
2016-05-15,15," (Laughter.)  I mean, listen, climate change is not something subject to political spin."
2016-05-15,15," (Applause.)  If we don’t act, if we don't follow through on the progress we made in Paris, the progress we've been making here at home, your generation will feel the brunt of this catastrophe."
2016-05-15,15," I am suggesting that those highest expressions of our humanity can only flourish when our economy functions well, and proposed budgets add up, and our environment is protected."
2016-05-15,15, That's how we cleaned up our air and our water.
2009-01-15,1,America's air and water and lands are measurably cleaner.
2009-09-09,2,But we did not come here just to clean up crises.
2009-09-09,2,"Finally, our health care system is placing an unsustainable burden on taxpayers."
2015-06-26,0,
1991-07-31,42,This is a different time; different winds are blowing.
1991-07-31,42,And we consider that it is in a decisive stage and we should not -- and here I want to use what our ministers use -- to have a window of opportunity in order to really achieve progress in this very sensitive area of international politics.
1991-07-31,42,"The President and I talked about the situation in Europe in the context of implementing the agreement -- the Helsinki Agreement, the Paris Charter, and especially with regard to the processes taking place in that region, and specifically noted the situation in Yugoslavia, and expressed our position, our understanding, our approach to the resolution of this issue -- a very serious one which worries many of us."
1991-07-31,42,"We're going forward with space cooperation, cooperation in the environment."
1991-07-31,42,We emphasized the necessity of having all sides respect the basic principles indicated in the Helsinki Act and the Paris Charter.
1991-07-31,42,"So, quite a bit has happened between us since Paris."
1991-07-31,42,"I would ask both of you to think back to the 1986 Reykjavik summit when Ronald Reagan horrified quite a few American nuclear experts and almost all of the European leaders by giving serious consideration to your proposal, President Gorbachev, for a ban on all nuclear weapons."
1991-07-31,42,"In the end, Reagan said no because of the belief that nuclear deterrence has, in fact, kept the peace."
1991-07-31,42,Why now are the two of you not saying we will now work towards a total nuclear ban?
1991-07-31,42,Do you still believe in the efficacy of nuclear deterrence in keeping the peace?
1991-07-31,42,"Particularly, sir, I ask you, President Bush, given the fact that some of these breakaway Republics, they have nuclear weapons in there and who knows what would happen if they declare independence."
1991-07-31,42,"The very fact that -- I wouldn't suggest that a breakaway Republic is going to use a nuclear weapon against the United States, but I would suggest that we have every reason in the world to be concerned about renegades -- not in these areas, perhaps; I hope not -- getting hold of nuclear weapons."
1991-07-31,42,"But in my view, other countries do possess nuclear weapons."
1991-07-31,42,The only thing at risk is an errant nuclear missile aiming at a country.
1991-07-31,42,"I think that the argument which you want to ascribe to me, that in my policy I looked upon nuclear weapons as an element of deterrence, is not true."
1991-07-31,42,"We have mapped out a few things for the future, and then there will probably also be questions put to all members of the nuclear club, and they also have to think about what to do with nuclear weapons in the future."
1991-07-31,42,"And finally, we must very carefully act about having the mechanism which we have created and which seems has worked -- but apparently not effectively enough -- about nonproliferation of nuclear weapons."
1991-07-31,42,"For if certain countries will lower their arms and disarm and head in the direction of a nonnuclear world, and at the same time, others will find ways to develop the process in order to have their own nuclear weapons, then we will have a situation which is absurd."
1991-07-31,42,"So, in continuing to support nuclear disarmament and within the framework of the negotiation process, which we have, we have agreed to continue this."
1991-07-31,42,We have the question of truly improving the mechanism of nonproliferation nuclear technology in order -- missile technology -- in order to create an unsurmountable barrier in this area.
1991-07-31,42,"Now I would say the following: We must, within the framework of the documents, the general path mapped out in the Helsinki and the Paris agreements, act in such a way that the old institutions be transformed in the interest of a new Europe so that they serve the interest of a single economic territory, a single security of Europe, a legal aspect."
1991-07-31,42,This is a different time; different winds are blowing.
1991-07-31,42,And we consider that it is in a decisive stage and we should not -- and here I want to use what our ministers use -- to have a window of opportunity in order to really achieve progress in this very sensitive area of international politics.
1991-07-31,42,"The President and I talked about the situation in Europe in the context of implementing the agreement -- the Helsinki Agreement, the Paris Charter, and especially with regard to the processes taking place in that region, and specifically noted the situation in Yugoslavia, and expressed our position, our understanding, our approach to the resolution of this issue -- a very serious one which worries many of us."
1991-07-31,42,"We're going forward with space cooperation, cooperation in the environment."
1991-07-31,42,We emphasized the necessity of having all sides respect the basic principles indicated in the Helsinki Act and the Paris Charter.
1991-07-31,42,"So, quite a bit has happened between us since Paris."
1991-07-31,42,"I would ask both of you to think back to the 1986 Reykjavik summit when Ronald Reagan horrified quite a few American nuclear experts and almost all of the European leaders by giving serious consideration to your proposal, President Gorbachev, for a ban on all nuclear weapons."
1991-07-31,42,"In the end, Reagan said no because of the belief that nuclear deterrence has, in fact, kept the peace."
1991-07-31,42,Why now are the two of you not saying we will now work towards a total nuclear ban?
1991-07-31,42,Do you still believe in the efficacy of nuclear deterrence in keeping the peace?
1991-07-31,42,"Particularly, sir, I ask you, President Bush, given the fact that some of these breakaway Republics, they have nuclear weapons in there and who knows what would happen if they declare independence."
1991-07-31,42,"The very fact that -- I wouldn't suggest that a breakaway Republic is going to use a nuclear weapon against the United States, but I would suggest that we have every reason in the world to be concerned about renegades -- not in these areas, perhaps; I hope not -- getting hold of nuclear weapons."
1991-07-31,42,"But in my view, other countries do possess nuclear weapons."
1991-07-31,42,The only thing at risk is an errant nuclear missile aiming at a country.
1991-07-31,42,"I think that the argument which you want to ascribe to me, that in my policy I looked upon nuclear weapons as an element of deterrence, is not true."
1991-07-31,42,"We have mapped out a few things for the future, and then there will probably also be questions put to all members of the nuclear club, and they also have to think about what to do with nuclear weapons in the future."
