,anomaly,date
0,1.142,1950-01-01
1,-0.015,1950-02-01
2,-0.18,1950-03-01
3,-0.973,1950-04-01
4,-0.467,1950-05-01
5,-0.372,1950-06-01
6,-1.107,1950-07-01
7,-0.777,1950-08-01
8,-0.534,1950-09-01
9,1.725,1950-10-01
10,-0.577,1950-11-01
11,0.378,1950-12-01
12,-0.311,1951-01-01
13,0.239,1951-02-01
14,-1.585,1951-03-01
15,-0.22,1951-04-01
16,0.388,1951-05-01
17,-0.935,1951-06-01
18,-0.008,1951-07-01
19,-0.022,1951-08-01
20,-0.298,1951-09-01
21,-0.164,1951-10-01
22,-1.043,1951-11-01
23,-0.631,1951-12-01
24,0.839,1952-01-01
25,0.831,1952-02-01
26,-1.289,1952-03-01
27,0.071,1952-04-01
28,-0.347,1952-05-01
29,0.874,1952-06-01
30,0.082,1952-07-01
31,0.24,1952-08-01
32,0.301,1952-09-01
33,-0.183,1952-10-01
34,0.159,1952-11-01
35,0.625,1952-12-01
36,2.74,1953-01-01
37,1.185,1953-02-01
38,1.253,1953-03-01
39,-0.621,1953-04-01
40,-0.31,1953-05-01
41,0.98,1953-06-01
42,0.284,1953-07-01
43,-0.024,1953-08-01
44,0.627,1953-09-01
45,0.894,1953-10-01
46,1.124,1953-11-01
47,0.658,1953-12-01
48,0.414,1954-01-01
49,2.758,1954-02-01
50,-0.263,1954-03-01
51,1.392,1954-04-01
52,-0.648,1954-05-01
53,0.107,1954-06-01
54,0.674,1954-07-01
55,0.135,1954-08-01
56,0.759,1954-09-01
57,0.624,1954-10-01
58,1.686,1954-11-01
59,-0.278,1954-12-01
60,0.694,1955-01-01
61,-1.78,1955-02-01
62,-0.232,1955-03-01
63,0.434,1955-04-01
64,0.301,1955-05-01
65,-1.244,1955-06-01
66,0.328,1955-07-01
67,0.607,1955-08-01
68,0.403,1955-09-01
69,0.192,1955-10-01
70,-2.337,1955-11-01
71,-0.731,1955-12-01
72,0.2,1956-01-01
73,-1.217,1956-02-01
74,-0.064,1956-03-01
75,-0.718,1956-04-01
76,0.727,1956-05-01
77,0.673,1956-06-01
78,-0.303,1956-07-01
79,-0.28,1956-08-01
80,0.003,1956-09-01
81,0.429,1956-10-01
82,-1.33,1956-11-01
83,0.749,1956-12-01
84,-0.194,1957-01-01
85,1.983,1957-02-01
86,0.748,1957-03-01
87,0.346,1957-04-01
88,-0.14,1957-05-01
89,0.388,1957-06-01
90,0.261,1957-07-01
91,0.097,1957-08-01
92,-0.258,1957-09-01
93,-0.701,1957-10-01
94,0.028,1957-11-01
95,1.417,1957-12-01
96,1.3,1958-01-01
97,-0.5,1958-02-01
98,-0.71,1958-03-01
99,0.085,1958-04-01
100,0.959,1958-05-01
101,-0.048,1958-06-01
102,-0.41,1958-07-01
103,0.628,1958-08-01
104,0.251,1958-09-01
105,-0.086,1958-10-01
106,0.654,1958-11-01
107,0.01,1958-12-01
108,-0.188,1959-01-01
109,0.364,1959-02-01
110,-0.551,1959-03-01
111,0.073,1959-04-01
112,0.34,1959-05-01
113,0.802,1959-06-01
114,-0.396,1959-07-01
115,0.498,1959-08-01
116,-0.095,1959-09-01
117,-0.39,1959-10-01
118,-1.173,1959-11-01
119,1.145,1959-12-01
120,0.285,1960-01-01
121,-0.732,1960-02-01
122,-2.199,1960-03-01
123,0.33,1960-04-01
124,-0.139,1960-05-01
125,0.089,1960-06-01
126,0.068,1960-07-01
127,-0.016,1960-08-01
128,0.515,1960-09-01
129,0.345,1960-10-01
130,0.272,1960-11-01
131,-0.015,1960-12-01
132,0.951,1961-01-01
133,1.345,1961-02-01
134,0.735,1961-03-01
135,-1.297,1961-04-01
136,-0.404,1961-05-01
137,0.39,1961-06-01
138,-0.352,1961-07-01
139,0.212,1961-08-01
140,-0.582,1961-09-01
141,-0.4,1961-10-01
142,-0.732,1961-11-01
143,-1.646,1961-12-01
144,-0.783,1962-01-01
145,1.436,1962-02-01
146,-1.189,1962-03-01
147,0.427,1962-04-01
148,0.713,1962-05-01
149,-0.328,1962-06-01
150,-0.576,1962-07-01
151,0.188,1962-08-01
152,-0.502,1962-09-01
153,1.163,1962-10-01
154,0.869,1962-11-01
155,0.529,1962-12-01
156,-1.419,1963-01-01
157,0.63,1963-02-01
158,1.422,1963-03-01
159,0.424,1963-04-01
160,0.558,1963-05-01
161,-0.181,1963-06-01
162,-0.1,1963-07-01
163,-0.073,1963-08-01
164,0.865,1963-09-01
165,2.398,1963-10-01
166,0.304,1963-11-01
167,-1.373,1963-12-01
168,0.884,1964-01-01
169,-1.034,1964-02-01
170,-1.486,1964-03-01
171,-0.214,1964-04-01
172,0.023,1964-05-01
173,-0.2,1964-06-01
174,0.411,1964-07-01
175,-0.635,1964-08-01
176,-0.431,1964-09-01
177,0.086,1964-10-01
178,0.341,1964-11-01
179,-1.354,1964-12-01
180,0.884,1965-01-01
181,-1.293,1965-02-01
182,-1.296,1965-03-01
183,0.633,1965-04-01
184,-0.129,1965-05-01
185,-1.013,1965-06-01
186,-0.616,1965-07-01
187,-0.594,1965-08-01
188,-1.158,1965-09-01
189,-0.164,1965-10-01
190,1.746,1965-11-01
191,1.214,1965-12-01
192,-1.682,1966-01-01
