,Date,Consumption (quadrillion Btu),Energy Class,Emission (Mton Co2),Emission per Consumption
0,1973-01-01,2.8693396755885043,Petroleum,218.972,76.31442239583873
612,1973-01-01,22.853898877556183,Natural Gas,125.557,5.49389846663337
611,1973-01-01,2.4279380826400003,Natural Gas,125.557,51.71342749543124
1273,1973-01-01,0.97183052455008,Coal,109.552,112.727473805907
865,1973-02-01,2.19838005268,Natural Gas,113.75,51.742645618226796
203,1973-02-01,2.9082953029512684,Petroleum,202.519,69.63495068554028
1472,1973-02-01,0.8754940677620799,Coal,98.833,112.8882577727053
916,1973-03-01,2.0836010377000003,Natural Gas,107.7,51.68935801591149
1522,1973-03-01,0.8723841821383,Coal,98.483,112.88948380357886
254,1973-03-01,2.6111837771564805,Petroleum,201.245,77.07040835676116
967,1973-04-01,1.8974729053000001,Natural Gas,97.838,51.56226459240603
305,1973-04-01,2.422022075747763,Petroleum,176.222,72.75821379356921
1572,1973-04-01,0.83248659746148,Coal,94.15,113.0949138245513
356,1973-05-01,2.5419086420926487,Petroleum,188.57,74.18441279807683
1622,1973-05-01,0.84542280936334,Coal,95.424,112.87133366068117
1018,1973-05-01,1.7878641162200002,Natural Gas,92.039,51.47986313109403
407,1973-06-01,2.5237262972287646,Petroleum,179.443,71.10240131706894
1672,1973-06-01,0.8750687985455001,Coal,98.888,113.00597183257726
1069,1973-06-01,1.58622530612,Natural Gas,81.657,51.478815578688376
458,1973-07-01,2.5042205060136,Petroleum,182.532,72.88974735318644
1120,1973-07-01,1.6110423904400002,Natural Gas,82.866,51.4362629386605
1722,1973-07-01,0.92536954079986,Coal,104.371,112.78845412372772
509,1973-08-01,2.6925279116115535,Petroleum,194.606,72.27631667651788
1772,1973-08-01,0.9464038523641001,Coal,106.631,112.6696597162381
1171,1973-08-01,1.6358594747600002,Natural Gas,84.098,51.40906129014423
1222,1973-09-01,1.5789869898600002,Natural Gas,81.115,51.37154423748102
560,1973-09-01,2.5653182076319268,Petroleum,180.789,70.47429806647195
1822,1973-09-01,0.88144762543734,Coal,99.436,112.8098790335543
51,1973-10-01,2.655628087964894,Petroleum,192.508,72.49057233293763
1323,1973-10-01,0.9026515604888601,Coal,102.224,113.24857173529651
713,1973-10-01,1.76614916744,Natural Gas,90.662,51.33314992380449
1373,1973-11-01,0.90716301109408,Coal,102.639,113.14284064141093
764,1973-11-01,1.9698560679000001,Natural Gas,101.315,51.432691784435114
102,1973-11-01,2.8373245113334744,Petroleum,204.469,72.0640163588142
153,1973-12-01,2.6528246664109916,Petroleum,203.538,76.72501035485573
1423,1973-12-01,0.97390504977376,Coal,110.014,112.96173074116051
815,1973-12-01,2.25628658276,Natural Gas,116.242,51.519164670033675
1,1974-01-01,2.647372462762637,Petroleum,201.071,75.9511564119597
613,1974-01-01,22.800037532220344,Natural Gas,119.741,5.251789600380505
1274,1974-01-01,0.9708762867557,Coal,108.393,111.64450247539597
614,1974-01-01,2.3059207514,Natural Gas,119.741,51.92763017866131
866,1974-02-01,2.1239287997200003,Natural Gas,110.109,51.842133321284486
1473,1974-02-01,0.87817655138642,Coal,98.038,111.6381436571298
204,1974-02-01,2.635681196411916,Petroleum,182.582,69.27317319278141
255,1974-03-01,2.452034048583982,Petroleum,185.77,75.76159071171128
917,1974-03-01,2.07119249554,Natural Gas,107.295,51.80349012998239
1523,1974-03-01,0.89034544181518,Coal,99.523,111.78020948487004
1573,1974-04-01,0.84303376591772,Coal,94.502,112.09752660040355
968,1974-04-01,1.7485703993800001,Natural Gas,90.595,51.81089650844069
306,1974-04-01,2.438807433314425,Petroleum,175.995,72.16436918958239
1019,1974-05-01,1.6627446494400002,Natural Gas,85.88,51.649542236640926
357,1974-05-01,2.404699985545994,Petroleum,176.641,73.45656466991376
1623,1974-05-01,0.8720271235447201,Coal,97.724,112.06532154958644
408,1974-06-01,2.484993472771394,Petroleum,174.094,70.05813170440295
1070,1974-06-01,1.4879910140200001,Natural Gas,76.821,51.627327904661286
1673,1974-06-01,0.85953043784036,Coal,96.07,111.77032920600656
1121,1974-07-01,1.56554440252,Natural Gas,80.739,51.57247528082714
459,1974-07-01,2.514895424864376,Petroleum,182.019,72.37636929170365
1723,1974-07-01,0.94087579447654,Coal,104.88,111.47061133435832
510,1974-08-01,2.5480487297274528,Petroleum,184.496,72.40677850762073
1773,1974-08-01,0.9426728850000801,Coal,105.132,111.52543122102327
1172,1974-08-01,1.5614082218,Natural Gas,80.445,51.520799542904
1823,1974-09-01,0.8519686466031,Coal,95.599,112.20952834492742
561,1974-09-01,2.4821056099337113,Petroleum,172.631,69.55022353162902
1223,1974-09-01,1.58932744166,Natural Gas,81.77,51.449435689975836
52,1974-10-01,2.6280779927636777,Petroleum,190.605,72.52638640284813
1324,1974-10-01,0.89113852961094,Coal,100.218,112.46062948681384
714,1974-10-01,1.7640810770800002,Natural Gas,90.836,51.491964388823064
1374,1974-11-01,0.86595975980748,Coal,96.61,111.5640754732972
765,1974-11-01,1.8892005438600001,Natural Gas,97.414,51.5636099706834
103,1974-11-01,2.663602048437437,Petroleum,191.775,71.99836781643188
816,1974-12-01,2.17563105872,Natural Gas,112.563,51.7380920578624
1424,1974-12-01,0.9226721469097601,Coal,102.597,111.19551006673476
154,1974-12-01,2.7475371205275056,Petroleum,209.839,76.37349043703277
615,1975-01-01,21.945678383148945,Natural Gas,120.049,5.470279747295486
2,1975-01-01,2.749518365932804,Petroleum,210.883,76.698160162482
616,1975-01-01,2.3245335646400003,Natural Gas,120.049,51.64433924557762
1275,1975-01-01,0.96614104766426,Coal,107.622,111.3936730668743
867,1975-02-01,2.00501360402,Natural Gas,103.804,51.772217301606176
1474,1975-02-01,0.8868786513119,Coal,98.975,111.59925865121787
205,1975-02-01,2.5871031868199412,Petroleum,181.255,70.06098594111279
1524,1975-03-01,0.91521563060304,Coal,101.683,111.1027790609308
918,1975-03-01,1.9677879775400002,Natural Gas,101.811,51.73880578703274
256,1975-03-01,2.4728624141233992,Petroleum,190.169,76.9023779543403
969,1975-04-01,1.6286211585,Natural Gas,84.462,51.861047954081336
1574,1975-04-01,0.85069289659614,Coal,94.247,110.78851178505026
307,1975-04-01,2.432859772976908,Petroleum,179.274,73.68858739467579
1020,1975-05-01,1.37631413458,Natural Gas,71.138,51.687327923656525
1624,1975-05-01,0.83379883534818,Coal,92.643,111.10953394569553
358,1975-05-01,2.303798464943328,Petroleum,172.524,74.88675881388087
1071,1975-06-01,1.29979479126,Natural Gas,67.018,51.560446657147956
1674,1975-06-01,0.8724772367994801,Coal,96.166,110.22178682021209
