date,oil_sentence_count,oil_sentences
1982-06-09,3,It is as stark as that gash of a border that separates the German people.
1982-06-09,3,Our economic energy vastly exceeds that of our adversaries.
1982-06-09,3,The soil of Germany and of every other Ally is of vital concern to each member of the Alliance.
2022-03-01,13," Tonight, I can announce that the United States has worked with 30 other countries to release 60 million barrels of oil from reserves around the world."
2022-03-01,13," Tonight, I can announce that the United States has worked with 30 other countries to release 60 million barrels of oil from reserves around the world."
2022-03-01,13," Tonight, I can announce that the United States has worked with 30 other countries to release 60 million barrels of oil from reserves around the world."
2022-03-01,13,"  America will lead that effort, releasing 30 million barrels from our own Strategic Petroleum Reserve."
2022-03-01,13,"  America will lead that effort, releasing 30 million barrels from our own Strategic Petroleum Reserve."
2022-03-01,13,  These steps will help blunt gas prices here at home.
2022-03-01,13," And so many families are living paycheck to paycheck, struggling to keep up with the rising cost of food, gas, housing, and so much more."
2022-03-01,13, It fueled our efforts to vaccinate the nation and combat COVID-19.
2022-03-01,13, Second—cut energy costs for families an average of $500 a year by combatting climate change.
2022-03-01,13,"  Let’s provide investments and tax credits to weatherize your homes and businesses to be energy efficient and you get a tax credit;   Double America’s clean energy production in solar, wind, and so much more;   Lower the price of electric vehicles, saving you another $80 a month because you’ll never have to pay at the gas pump again."
2022-03-01,13,"  Let’s provide investments and tax credits to weatherize your homes and businesses to be energy efficient and you get a tax credit;   Double America’s clean energy production in solar, wind, and so much more;   Lower the price of electric vehicles, saving you another $80 a month because you’ll never have to pay at the gas pump again."
2022-03-01,13," As Frances Haugen, who is here with us tonight, has shown, we must hold social media platforms accountable for the national experiment they’re conducting on our children for profit."
2022-03-01,13," One was stationed at bases and breathing in toxic smoke from “burn pits” that incinerated wastes of war—medical and hazard material, jet fuel, and more."
1983-09-05,2,"Memories come back of Czechoslovakia, Hungary, Poland, the gassing of villages in Afghanistan."
1983-09-05,2,I am pleased to report that Canada today suspended Aeroflot's landing and refueling privileges for 60 days.
2020-03-13,9,"He immediately called the private sector laboratories to the White House, as noted, and charged them with developing a high-throughput quality platform that can meet the needs of the American public."
2020-03-13,9,"Based on the price of oil, I’ve also instructed the Secretary of Energy to purchase, at a very good price, large quantities of crude oil for storage in the U.S. Strategic Reserve."
2020-03-13,9,"Based on the price of oil, I’ve also instructed the Secretary of Energy to purchase, at a very good price, large quantities of crude oil for storage in the U.S. Strategic Reserve."
2020-03-13,9,"We’re going to fill it right up to the top, saving the American taxpayer billions and billions of dollars, helping our oil industry and making us even further toward that wonderful goal—which we’ve achieved, which nobody thought was possible—of energy independence."
2020-03-13,9,"We’re going to fill it right up to the top, saving the American taxpayer billions and billions of dollars, helping our oil industry and making us even further toward that wonderful goal—which we’ve achieved, which nobody thought was possible—of energy independence."
2020-03-13,9,"The price of oil went down quite a bit, so we’re going to fill it up."
2020-03-13,9,"Q: You talked about buying oil from the—from the SPR, or adding to the SPR."
2020-03-13,9,"No, these guys are selling a lot of toilet paper."
2020-03-13,9,"I don’t know, there seems — Tony, do you need to give some guidance that toilet paper is not an effective protection against getting the coronavirus?"
1991-01-16,1,"A world in which brutality and lawlessness are allowed to go unchecked isn't the kind of world we're going to want to live in.""  Listen to Master Sergeant J.P. Kendall of the 82d Airborne: ""We're here for more than just the price of a gallon of gas."
2018-02-15,0,
2016-05-15,5," Today, you join a long line of Scarlet Knights whose energy and intellect have lifted this university to heights its founders could not have imagined."
2016-05-15,5," (Applause.)     This is a place where you 3D-print prosthetic hands for children, and devise rooftop wind arrays that can power entire office buildings with clean, renewable energy."
2016-05-15,5, We’re less dependent on foreign oil.
2016-05-15,5, We’ve doubled the production of clean energy.
2016-05-15,5," “Our generation has so much energy to adapt and impact the world,” he said."
2009-01-15,2,America has gone more than seven years without another terrorist attack on our soil.
2009-01-15,2,"This is a tribute to those who toil night and day to keep us safe—law enforcement officers, intelligence analysts, homeland security and diplomatic personnel, and the men and women of the United States Armed Forces."
2009-09-09,0,
2015-06-26,0,
1991-07-31,4,"To speak about this briefly, we spoke about cooperating in the field of energy, especially in the area of conversion."
1991-07-31,4,"And now if we have, for example, a common energy approach, there will be mechanisms of administering this and will have a great significance in the fate of Europe and the process to realize this."
1991-07-31,4,"To speak about this briefly, we spoke about cooperating in the field of energy, especially in the area of conversion."
1991-07-31,4,"And now if we have, for example, a common energy approach, there will be mechanisms of administering this and will have a great significance in the fate of Europe and the process to realize this."
1974-04-29,3,"We just cannot have this kind of a business...""  Speaking to Haldeman and Ehrlichman, I said: ""The boil had to be pricked ."
1974-04-29,3,We have to prick the boil and take the heat.
1974-04-29,3," And here at home, there is vital work to be done in moving to control inflation, to develop our energy resources, to strengthen our economy so that Americans can enjoy what they have not had since 1956: full prosperity without war and without inflation."
1975-04-23,5, I am determined to seek self-sufficiency in energy as an urgent national priority.
1975-04-23,5,My goal is to make America independent of foreign energy sources by 1985.
1975-04-23,5," We thought, in a well-intentioned past, that we could export our technology lock, stock, and barrel to developing nations."
1975-04-23,5,"Not only food technology but money management, natural resources and energy, research and development—all kinds of this group require an organized world society that makes the maximum effective use of the world's resources."
1975-04-23,5,"I challenge the engineers in this audience to devise new techniques for developing cheap, clean, and plentiful energy, and as a byproduct, to control floods."
2008-10-03,0,
2017-01-10,4,"It's the insistence that these rights, while self-evident, have never been self-executing; that we, the people, through the instrument of our democracy, can form a more perfect Union.What a radical idea, a great gift that our Founders gave to us: The freedom to chase our individual dreams through our sweat and toil and imagination, and the imperative to strive together, as well, to achieve a common good, a greater good.For 240 years, our Nation's call to citizenship has given work and purpose to each new generation."
2017-01-10,4,"In just 8 years, we've halved our dependence on foreign oil, we've doubled our renewable energy, we've led the world to an agreement that has the promise to save this planet."
2017-01-10,4,"In just 8 years, we've halved our dependence on foreign oil, we've doubled our renewable energy, we've led the world to an agreement that has the promise to save this planet."
2017-01-10,4,"And we love you and Jill like family, and your friendship has been one of the great joys of our lives.To my remarkable staff: For 8 years—and for some of you, a whole lot more—I have drawn from your energy, and every day I tried to reflect back what you displayed: heart and character and idealism."
1978-12-15,0,
1990-10-02,0,
1983-03-23,4,More than half of all American oil imports now pass through the Caribbean.
1983-03-23,4,"They have bases in Ethiopia and South Yemen, near the Persian Gulf oil fields."
1983-03-23,4,"When I took office in January 1981, I was appalled by what I found: American planes that couldn't fly and American ships that couldn't sail for lack of spare parts and trained personnel and insufficient fuel and ammunition for essential training."
1983-03-23,4,"What if free people could live secure in the knowledge that their security did not rest upon the threat of instant U.S. retaliation to deter a Soviet attack, that we could intercept and destroy strategic ballistic missiles before they reached our own soil or that of our allies?"
1995-10-16,1,It isn't racist for parents to recoil in disgust when they read about a national survey of gang members saying that two-thirds of them feel justified in shooting someone simply for showing them disrespect.
1988-11-11,0,
2004-01-20,2,"Twenty-eight months have passed since September 11, 2001—over two years without an attack on American soil."
2004-01-20,2,"Consumers and businesses need reliable supplies of energy to make our economy run, so I urge you to pass legislation to modernize our electricity system, promote conservation, and make America less dependent on foreign sources of energy."
1981-06-29,5,"President Cobb, Vice Chairman Kelly Alexander, and Executive Director Benjamin Hooks, the ladies and gentlemen here on the platform, the members of the board of directors, and you, ladies and gentlemen, representatives to this convention: I'm very happy to be talking to the NAACP's 72rd annual convention."
1981-06-29,5,"If I may, from the platform of this organization, known for its tolerance, I would like to address a few remarks to those groups who still adhere to senseless racism and religious prejudice, to those individuals who persist in such hateful behavior."
1981-06-29,5,We have not sacrificed and fought and toiled to protect that right so that now we can sit back and permit a barrier to come between a secret ballot and any citizen who makes a choice to cast it.
1981-06-29,5,"A declining economy is a poisonous gas that claims its first victims in poor neighborhoods, before floating out into the community at large."
1981-06-29,5,"I'm talking about the kind of courage and questioning your chairman, Margaret Bush Wilson, showed in taking the heat for the NAACP's controversial 1978 energy statement—a statement which shook the elitists of our country back into the real world, at least for a time."
