STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
AK,4.957328257866228e-05,3.854538151556687e-05,2.3848248675441776e-05,2.6476727444055444e-05,2.5799875134147737e-05,3.2444239394784896e-05,3.7128688688083714e-05,3.0804379959711296e-05,4.26581304759449e-05,4.726427068560418e-05,4.506932341994057e-05,3.907345550345794e-05,8.542784957758386e-05,4.414578032184102e-05,0.00019005023849261377,9.59769517124336e-05,3.8619045895193676e-05,3.9042911446887206e-05,2.4046656751550648e-05,7.201618298107228e-05,3.536872016160727e-05,2.3294218851018983e-05,2.61157966271001e-05,4.9204155945152033e-05,1.94750821276143e-05,0.00015545066882083334,1.4715615387755889e-05,3.1359023479339596e-05,4.246908677483786e-05,9.65975987765845e-05
AL,1.447312445292748e-05,1.5312271358014267e-05,1.6700845947524876e-05,1.7619935235305044e-05,1.7206414806666447e-05,1.9053739067883416e-05,2.0282213672547764e-05,1.9628573757253167e-05,2.004001403563038e-05,2.052618305854732e-05,2.1588440434018558e-05,1.9988627954115565e-05,2.1207331722844853e-05,2.15746739968916e-05,2.1328720471862864e-05,2.1492634735268513e-05,2.15582269210375e-05,2.1688521547477884e-05,1.980721551948892e-05,1.5112147836137184e-05,1.7229233168256225e-05,1.6407983909406457e-05,1.4747461675492288e-05,1.419171970755593e-05,1.4516998872566216e-05,1.3541666824950901e-05,1.2146013233573861e-05,1.0950576691839965e-05,1.1975902940581562e-05,1.0882931845464857e-05
AR,-4.8597111908537625e-08,-1.4114741496900366e-07,1.0751508942972783e-06,8.736751102195857e-07,2.8171070635224054e-06,4.5876028361178685e-06,5.685625591102169e-06,5.7123321084395715e-06,6.503775936765298e-06,7.730792454003236e-06,7.964271147803275e-06,7.584526301173779e-06,6.98136983563163e-06,7.821242655160636e-06,7.982673293604117e-06,7.68363588060779e-06,9.41149671926014e-06,1.0135731553173476e-05,1.052851006596687e-05,9.548722520015137e-06,1.0948101571535368e-05,1.1575366696579882e-05,1.1516079704968648e-05,1.2217003282883724e-05,1.219222328903362e-05,8.4370530289128e-06,9.267524343966324e-06,9.710992569423888e-06,1.17736121163311e-05,1.0048920876711709e-05
AZ,1.8754528897517962e-05,1.8059319382077766e-05,1.837239664053308e-05,1.8439786933628972e-05,1.833879318647623e-05,1.6350451899207468e-05,1.6597773526411212e-05,1.7083134149201495e-05,1.7509797141471532e-05,1.771871889433328e-05,1.7422016392401166e-05,1.7442776363570393e-05,1.69777744405426e-05,1.6980349558410805e-05,1.778457205389725e-05,1.7367442696739925e-05,1.7319290086758147e-05,1.732096102491782e-05,1.7019950229671533e-05,1.5250418620215369e-05,1.5987978513577797e-05,1.5505576424364232e-05,1.5173044307537313e-05,1.535651005041253e-05,1.504708645208889e-05,1.4562460077592084e-05,1.3623800028155478e-05,1.338042243355953e-05,1.373193754033639e-05,1.3328588898687893e-05
CA,1.0435673720529785e-05,9.874367434473053e-06,1.0177852436948703e-05,9.712586577049263e-06,1.0116553953553517e-05,9.711358280024003e-06,9.654381014818674e-06,9.624994544463204e-06,9.85617061553319e-06,9.777855809756637e-06,9.976034409133336e-06,9.943455803182088e-06,9.731193118577477e-06,9.488742242143107e-06,9.85106361634304e-06,9.63738777524963e-06,9.71272962790004e-06,9.748348340085337e-06,9.11999316841897e-06,8.533219362497759e-06,8.242847075610097e-06,7.902186779372259e-06,8.019437527862377e-06,8.052836206160178e-06,7.843327988041709e-06,7.93539056995657e-06,7.929452562486363e-06,7.939256129870444e-06,7.9542417143428e-06,8.021708334819835e-06
CO,2.3247728433501387e-05,2.32185443780241e-05,2.309298285621051e-05,2.3384160451704994e-05,2.2728173874064347e-05,2.2466247270234217e-05,2.2783462304135348e-05,2.2446009405305373e-05,2.266015337318399e-05,2.2747174978679916e-05,2.2174673947383775e-05,2.3468529196221792e-05,2.2643170274828457e-05,2.234635056378655e-05,2.2785094763196137e-05,2.3126008678166775e-05,2.2858377584944905e-05,2.2897525281914795e-05,2.214981759765966e-05,2.087290766130297e-05,2.1055640344060665e-05,2.0113432883773215e-05,1.9620991182060895e-05,1.9709736101178042e-05,1.971523766822492e-05,1.9193647931703283e-05,1.848024105809584e-05,1.8294350254902584e-05,1.823098477350542e-05,1.8381308017039845e-05
CT,1.1218383529829106e-05,1.097729310928475e-05,1.1025415368189588e-05,1.0294938662221418e-05,1.0168567670482532e-05,9.943770804018935e-06,1.0738714352471112e-05,1.181811582250053e-05,1.0943643581380497e-05,1.1127399884264499e-05,1.137933175679193e-05,1.0827033462492691e-05,1.0210235304274176e-05,1.1137757810998307e-05,1.1684202159233478e-05,1.1108967270875739e-05,1.050279207391072e-05,1.0191059889218177e-05,9.164589487402507e-06,8.756722291179169e-06,8.785216473435297e-06,8.406231218193298e-06,8.047744131183734e-06,8.172941520395282e-06,8.288987984105212e-06,8.640856535499434e-06,8.004364339393248e-06,7.812823138611008e-06,8.83545878705302e-06,8.656846190784053e-06
DE,2.5421841099494743e-05,2.408397812086281e-05,2.39776996124435e-05,2.547131021159164e-05,2.459406346634219e-05,2.334220597910173e-05,2.3318650065572413e-05,2.1305665592600058e-05,2.0354120600994976e-05,2.0233430896695343e-05,1.941337051199017e-05,1.882764536592461e-05,1.8486018950378463e-05,1.9203173779922343e-05,1.881083963387098e-05,1.9479686394965582e-05,1.7952429488590146e-05,1.871585316486274e-05,1.7109324347275117e-05,1.2344614445582043e-05,1.3205033510824229e-05,1.4342156047562168e-05,1.48766888759614e-05,1.4417913229328878e-05,1.3841635929310794e-05,1.3931712166184609e-05,1.479693032916851e-05,1.3438448423507285e-05,1.3592244175881774e-05,1.3173437932287184e-05
FL,1.3169281384070257e-05,1.2972739508296634e-05,1.2913510986143738e-05,1.3293508232940494e-05,1.3389017085417235e-05,1.3538805445801782e-05,1.3752679334425996e-05,1.3698396751817652e-05,1.4371146593883554e-05,1.3828442634153337e-05,1.3572380180340053e-05,1.3643438505570484e-05,1.3688682200159209e-05,1.3822881096605862e-05,1.3909776121164036e-05,1.3762985180136489e-05,1.3374055721541785e-05,1.3105061574614982e-05,1.2158974530154963e-05,1.1370428672509784e-05,1.202976794233829e-05,1.1177395122115746e-05,1.0841291289303108e-05,1.065916886319861e-05,1.0799416883242219e-05,1.0797154640751056e-05,1.065185069893672e-05,1.0480425736977835e-05,1.0422059324127126e-05,1.001245566098815e-05
GA,1.5854941840321165e-05,1.4370818871766178e-05,1.3940607366601737e-05,1.5076263483620572e-05,1.5345212436043626e-05,1.61727879908809e-05,1.6140410442723643e-05,1.606826663156752e-05,1.5954814630273933e-05,1.5934836092737504e-05,1.613112225251564e-05,1.480882119689939e-05,1.530887150059922e-05,1.5536937872487343e-05,1.566989215763634e-05,1.67132079800643e-05,1.5865503573155785e-05,1.5824356012635353e-05,1.4271763915609939e-05,1.2807913940800081e-05,1.3641191302856535e-05,1.1788180753852566e-05,1.0071354051768832e-05,1.0044283305506295e-05,1.0437673924664762e-05,1.0189923217452289e-05,9.814264930631215e-06,9.418029637869021e-06,9.315091035358573e-06,8.7424329162757e-06
