,State,BLS Total State Employment,Solar Electric Power Generation Employment,Wind Electric Power Generation Employment,Traditional Hydroelectric Electric Power Generation Employment,Natural Gas Electric Power Generation Employment,Coal Electric Power Generation Employment,Oil & Other Fossil Fuels Electric Power Generation Employment,Electric Power Generation Employment,Storage Employment,Smart Grid Employment,Micro Grid & Other (including commodity flows) Employment,"Transmission, Distribution, and Storage Employment",ENERGY STAR & Efficient Lighting Employment,Traditional HVAC Employment,High Efficiency HVAC & Renewable Heating and Cooling Employment,Advanced Materials Employment,Energy Efficiency Employment,Coal Fuels Employment,Oil (Petroleum & Other Fossil Fuels) Employment,Natural Gas Fuels Employment,Corn Ethanol Fuels Employment,Woody Biomass Fuels Employment,Fuels Employment,Motor Vehicles Employment,year
0,Alabama,1902627.0,759.57258069349,1076.8000014444613,349.845572176702,1656.7710759314978,1529.4797973376876,203.91503344806276,9044.591899338993,1058.55904881132,271.9241403712177,12135.08932046028,29437.835675051076,816.5973114869523,5204.758652683216,2637.9159059781864,18936.58383249711,30203.125729067277,2540.2749576404576,3398.131575786305,911.5087371810693,53.67876533684129,1046.7527960168534,10837.636195686378,63174.401474825536,2016
1,Alaska,318226.0,97.83129337375512,36.85613258740729,468.995228819819,292.8109219982707,88.00912834456017,151.338420343524,1324.1239697419585,267.14909133272425,25.42633929415258,1656.6651793829792,6199.241947772065,374.2919929121548,574.1950411377103,1842.5481218085606,1496.3293667814548,4420.910304351623,133.8826865884426,7395.071294003244,5873.885176323565,0.0,45.3292533507033,13503.5150312227,3459.662071533841,2016
2,Arizona,2679452.0,9774.185235150273,693.5163940826039,151.24369507473799,3648.663567392763,6060.0309417067365,154.11182370176277,21262.782551730783,1844.6039860532865,165.20929844693296,5488.6832373526195,20417.1107481594,6514.733051875524,9187.760800270064,11867.74407708307,7750.570242033017,40663.011648939864,432.5616009873008,302.9649226271449,173.68484795844017,52.11095956895831,64.1309770624086,1081.222314495877,29292.997452187898,2016
3,Arkansas,1191095.0,338.6345861060489,824.6249305175035,33.49572764260079,328.77627361773204,310.93739083432234,0.1038517831280865,3156.438842428218,399.39948279492376,109.12105146161839,3341.8437962553585,15009.079898134974,1694.6379416159375,2634.7130763139,2521.7004208858025,619.8433539668572,14832.756839583879,115.30900997436689,3935.9784237558506,1722.5813917034643,348.5876341259519,650.8745277433436,7798.967548919659,19839.610516295106,2016
4,California,16454823.0,152947.24357537625,4634.885518682343,11890.487256350812,16959.72029303357,864.3156808697453,695.693162174433,203268.90238204977,25202.668027842556,1907.7491671017801,28284.839445538495,155360.43900797635,65441.5428731701,116445.864736807,58313.157813856684,18473.448002116,301347.97407191515,1322.6708892325535,48566.120141659434,10687.13998650459,246.49899118106214,2629.4933107594807,68984.2410167771,198121.34815292197,2016
5,Colorado,2515421.0,8027.392608921298,7124.4096356492555,1013.6341504646737,486.178522266115,3811.6997984298805,316.33454947883223,25095.691023108448,2332.031128277743,326.5082845878228,7055.308632945684,28252.310892825793,9393.510589590105,8477.379484391178,5185.827981255176,5489.234836678798,29755.61063848642,2270.349090642949,13731.476825529588,9844.962308708877,449.81927855599304,3941.163851882021,36765.39106317284,30220.535560055345,2016
6,Connecticut,1649962.0,2927.2276045049202,10.919343300384094,16.8370471390747,742.3851624720162,0.0,0.09233812109612599,5204.507222264983,251.7249336891811,75.29178651666254,845.3026880292355,10205.686043627524,7500.657435627338,7881.165130375684,10110.11239873805,3511.9556213417595,33948.402804091515,2.3315252519561724,3011.419316506036,76.26423733755519,7.631638019116001,32.21917757434354,3209.0781456910017,18496.09714215981,2016
7,Delaware,430332.0,486.08387627065713,0.0,118.28389306345237,257.47976626757037,0.0,0.0,862.1492188298247,46.11676955776252,77.72667508962273,741.5840436259643,2497.3730326869227,1214.840888585468,4290.628731339096,3480.2486396137647,2348.0535282697224,12231.891406088957,68.24361952612094,727.1702187999972,0.0,54.536418344793255,7.112729863979749,2785.2573834974555,4183.22507967849,2016
8,District of Col.,751956.0,1581.4473595767183,83.41401344110392,34.6110587053648,114.3977480061928,14.44104729589463,0.13080527176845214,1962.4164027709442,87.54129836838244,20.35094817938592,232.7212339955587,2043.2537800324567,861.84219762612,2370.5922521526513,5183.773458564292,386.1043013942835,11981.974323094499,2.4098690587898566,147.34565680497124,159.24715718392426,11.266781053328021,45.23934593143015,498.05160826588565,872.6361615481152,2016
9,Florida,8300265.0,11074.189945121334,3584.437942782358,132.0860503735578,12260.75661291393,3143.396823697327,195.08137928925174,49208.69469108776,2178.9222811478567,703.2119399138345,6657.913843757189,49660.39972553812,28726.99311047657,15122.870566004798,18732.383400326034,32897.95406076889,108669.94129621427,30.134074969170005,2374.2598069655733,13872.951735814846,67.83356370856777,864.0500582675547,20010.293786373826,88601.48106351329,2016
10,Georgia,4203266.0,5261.425739309121,483.1435912459126,731.1032602511353,1223.2578764996001,944.1544641462755,368.159201319035,12469.994071314954,2280.6318083770493,466.9521319501816,7257.427807735634,37481.274110322534,6769.931055117767,10783.256584218125,20510.644295735554,7701.141932261003,57443.121915192634,5.2295794129049895,4142.079285731352,429.22368590969285,450.3214108579026,1153.7873089359687,8591.003901047065,69188.47004284055,2016
11,Hawaii,645946.0,4882.682170314778,159.11020999176827,0.0,0.0,404.8047762138362,1722.621803811666,7347.070381287966,540.5377619841632,43.40226586338356,2317.341495002584,4242.09449789731,1114.4206715012676,202.66518088619003,3051.945872515634,247.56439454724614,5117.412835851607,58.98001973496275,696.1931243895289,1120.6030958970146,894.4187254470276,11.234013982047564,5393.980068770935,3728.6131326773507,2016
12,Idaho,671126.0,816.4316262687439,828.6707446691378,151.1320747926847,17.543908680869105,0.3449805652381306,0.00036906185101698915,1833.8453850582337,1252.6762324709575,21.345235647428336,3239.4225401234303,9227.231898359329,1038.8887747289805,1361.5196422518386,4531.297390632805,661.7424426980338,7606.014165015549,2.4427567050008743,329.6860226076951,1117.243027272818,236.23069041659784,305.7422571988473,2406.9954780721746,10763.813173213846,2016
13,Illinois,5806703.0,5325.045037143727,8321.185991176571,616.6112460948832,3727.198597372501,2660.3484613968985,517.9504521099059,28434.207611762788,2986.2107988918497,1249.5826494301293,14475.84446404439,49657.38897554941,11408.996108186953,28773.64329033753,27235.982257559324,7525.178488132003,83986.7967062262,5336.186453145873,18738.91045289943,1688.1894641059798,3116.168193392082,261.89432120551294,32727.001668210873,101310.33700594923,2016
14,Indiana,2949203.0,3866.3841611876624,6250.467135502665,16.629616216093968,1377.9800818651756,3964.302294130775,1530.7910791242361,17222.164604730428,2641.9469575969188,489.2913119302408,9082.74303739021,27357.520145494636,4677.763931624455,12715.869408487375,25143.294641240824,4369.097123647132,52577.83899308796,3118.9735276011297,5929.5217079045815,976.8498530836954,2068.3403921890686,133.05923444533758,13179.95054046749,155953.02454451725,2016
15,Iowa,1518650.0,745.302747540213,3858.746916251736,12.698280944847482,233.2558661090314,2140.363879113231,27.308670948601065,7636.180430556853,1021.7760956265547,132.94076486931968,2900.991883474676,13591.445866712202,6769.822538627284,1115.798057959992,7073.837055648049,1661.5572677834382,18845.397824388132,28.065087157374254,4259.821572929028,307.4149743183568,4197.388377465235,49.55364770539829,10754.908308994878,37267.83662319812,2016
16,Kansas,1361938.0,618.1100546334104,1980.8624345623186,112.3484720638009,4339.03037537943,3070.1837007714494,2229.1756668072753,15921.664219537313,663.0926351032258,157.28818181573428,1672.4339537007168,17777.20131257072,3399.6558508214766,1831.9164989543742,3215.0,3257.865078176928,16338.559668461468,271.6627887586522,8467.239455623285,3175.132418787358,1317.7273538914674,23.509690059450858,14852.749903808673,21698.16733611985,2016
