text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"With domestic output exceeding regional demand, US #crudeoil producers are increasingly looking toward the export m… https://t.co/SmdzwV4I8n",FALSE,0,NA,2019-07-05T12:52:01Z,TRUE,NA,1147125982907813888,NA,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>",ArgusMedia,0,FALSE,FALSE,NA,NA
"For Friday, here is US Crude Oil front 12 months futures prices with the VWAP's as we go into the US RTH Session:… https://t.co/NiZ4hTb0mm",FALSE,0,NA,2019-07-05T12:50:03Z,TRUE,NA,1147125489103974400,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>",macrohedged,0,FALSE,FALSE,NA,NA
"RT @aeberman12: OPEC ""pumped 29.6 mmbpd last month, down 170 kb/d from May’s revised figure &amp; lowest OPEC total since 2014.""--Reuters Surve…",FALSE,0,NA,2019-07-05T12:39:58Z,FALSE,NA,1147122950753181697,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Spy,1,TRUE,FALSE,NA,NA
"RT @aeberman12: ""Ships vanishing from tracking screens, clandestine transfers on high seas &amp; fake destinations...have helped Iran continue…",FALSE,0,NA,2019-07-05T12:38:45Z,FALSE,NA,1147122646003437568,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SuperiorMar,1,TRUE,FALSE,NA,NA
"OPEC ""pumped 29.6 mmbpd last month, down 170 kb/d from May’s revised figure &amp; lowest OPEC total since 2014.""--Reute… https://t.co/TRMeCkXj3w",FALSE,4,NA,2019-07-05T12:38:36Z,TRUE,NA,1147122604551155712,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aeberman12,1,FALSE,FALSE,NA,NA
"RT @aeberman12: “If the state of the economy does not improve, demand alone is not likely to be able to slice potentially growing inventori…",FALSE,0,NA,2019-07-05T12:31:27Z,FALSE,NA,1147120806339629056,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",4ever_covfefe,2,TRUE,FALSE,NA,NA
"“The army isn’t a trader. It doesn’t sell oil, legally or illegally. Sale of oil is an exclusive” jurisdiction of t… https://t.co/iioagLXDx2",FALSE,0,NA,2019-07-05T12:29:43Z,TRUE,NA,1147120369960198145,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aeberman12,0,FALSE,FALSE,NA,NA
"#MCX #commodity report for #evening session

#gold #silver #copper #CRUDEOIL #OOTT https://t.co/zhe1RULtWU",FALSE,0,NA,2019-07-05T12:26:33Z,FALSE,NA,1147119571746164739,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tradeswift,0,FALSE,FALSE,NA,NA
"""Ships vanishing from tracking screens, clandestine transfers on high seas &amp; fake destinations...have helped Iran c… https://t.co/XaCqgqxc7E",FALSE,2,NA,2019-07-05T12:25:32Z,TRUE,NA,1147119316703285249,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aeberman12,1,FALSE,FALSE,NA,NA
"“If the state of the economy does not improve, demand alone is not likely to be able to slice potentially growing i… https://t.co/UNeDEgfKs7",FALSE,5,NA,2019-07-05T12:22:30Z,TRUE,NA,1147118556137578496,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aeberman12,2,FALSE,FALSE,NA,NA
"RT @patrickrooney: Odds of #crude holding below $57 today? #crudeoil #oil #oott 

@Trading_Tech @TradersCom @EnergyRosen @EnergyInDepth @tr…",FALSE,0,NA,2019-07-05T12:12:39Z,FALSE,NA,1147116077404606464,NA,"<a href=""https://testing123jp.webs.com/"" rel=""nofollow"">Testing123jp</a>",oilbot123,1,TRUE,FALSE,NA,NA
RT @oilhighlights: #UAE is the top #crudeoil supplier to #Japan in May 2019 while #SaudiArabia came as a second supplier for the first time…,FALSE,0,NA,2019-07-05T12:12:33Z,FALSE,NA,1147116050191921152,NA,"<a href=""https://testing123jp.webs.com/"" rel=""nofollow"">Testing123jp</a>",oilbot123,1,TRUE,FALSE,NA,NA
"Odds of #crude holding below $57 today? #crudeoil #oil #oott 

@Trading_Tech @TradersCom @EnergyRosen… https://t.co/OJoRieF3vT",FALSE,0,NA,2019-07-05T12:10:16Z,TRUE,NA,1147115475945558016,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",patrickrooney,1,FALSE,FALSE,NA,NA
#UAE is the top #crudeoil supplier to #Japan in May 2019 while #SaudiArabia came as a second supplier for the first… https://t.co/3ELWxNjkrX,FALSE,2,NA,2019-07-05T12:05:47Z,TRUE,NA,1147114348172783621,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",oilhighlights,1,FALSE,FALSE,NA,NA
"#Budget2019 | With the right technology and policy, India has the potential to leapfrog into the future, provide… https://t.co/UVdvLlj92r",FALSE,0,NA,2019-07-05T12:02:58Z,TRUE,NA,1147113638160846848,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mbhasin30,0,FALSE,FALSE,NA,NA
South Korea's state-run Export-Import Bank of Korea has agreed to provide $1.5bn in framework financing to Indonesi… https://t.co/n07rPCFEZd,FALSE,2,NA,2019-07-05T11:55:04Z,TRUE,NA,1147111649880498178,NA,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>",ArgusMedia,1,FALSE,FALSE,NA,NA
"05 July 2019 Evening PIVOT &amp; BREAKOUT LEVELS

#Commodity #CommodityBreakoutLevel #CommodityPivot #Bullionfox… https://t.co/7NcQwhGumS",FALSE,0,NA,2019-07-05T11:45:39Z,TRUE,NA,1147109280799064064,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BullionFoxComm,0,FALSE,FALSE,NA,NA
"#Budget2019 | With the right technology and policy, India has the potential to leapfrog into the future, provide… https://t.co/zwHBwtza1c",FALSE,0,KPMGIndia,2019-07-05T11:41:15Z,TRUE,1147107647088316416,1147108175516033024,237572296,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KPMGIndia,0,FALSE,FALSE,NA,NA
RT @macrohedged: Friday: Key Volume &amp; Volatility Skew for Crude Oil Options: https://t.co/emtxjis8NG #CL_F #CrudeOil #WTI $USO #OOTT $UCO $…,FALSE,0,NA,2019-07-05T11:41:02Z,FALSE,NA,1147108119589412864,NA,"<a href=""http://www.grouptweet.com"" rel=""nofollow"">GroupTweet</a>",Normaltrip,2,TRUE,FALSE,NA,NA
Total Approves Dunga Phase 3 Launch https://t.co/sBjUlYh7HO | #oil #crudeoil #brentoil #forex #fx #trading #trade… https://t.co/jrQjmL19j2,FALSE,2,NA,2019-07-05T11:40:14Z,TRUE,NA,1147107917180624896,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",forexoilfort,0,FALSE,FALSE,NA,NA
"From the traders to common person, what do you think about this? #investor #buyers #crudeoil #DayTrading #Intraday https://t.co/RWv1e2vHzD",FALSE,0,NA,2019-07-05T11:24:31Z,FALSE,NA,1147103962027270144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rakz_27,0,FALSE,FALSE,NA,NA
"Sonatrach, Eni to accelerate North Berkine oil and gas projects https://t.co/ZqzkTq1icC | #oil #crudeoil #brentoil… https://t.co/K6Okd20LcU",FALSE,1,NA,2019-07-05T11:10:27Z,TRUE,NA,1147100421972004864,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",forexoilfort,0,FALSE,FALSE,NA,NA
RT @macrohedged: It's Friday and here is the Implied Volatility v Futures Price for WTI Crude Oil: https://t.co/MUPJTOmV5F #CL_F #CrudeOil…,FALSE,0,NA,2019-07-05T11:10:02Z,FALSE,NA,1147100317462487040,NA,"<a href=""http://www.grouptweet.com"" rel=""nofollow"">GroupTweet</a>",Normaltrip,2,TRUE,FALSE,NA,NA
"@EddieTofpik Daily #TechnicalAnalysis on #Energy #Market covering #NYMEX #WTI #CrudeOil, ICE #Brent, NYMEX #Heating… https://t.co/K3DNxI3zoT",FALSE,1,EddieTofpik,2019-07-05T10:54:06Z,TRUE,NA,1147096308156702721,35766116,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ADMISI_Live,0,FALSE,FALSE,NA,NA
"Sonatrach, Eni to accelerate North Berkine oil and gas projects https://t.co/fsRzVRP06g | #oil #crudeoil #brentoil… https://t.co/BgdTg2FBtk",FALSE,0,NA,2019-07-05T10:48:09Z,TRUE,NA,1147094809519304704,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",forexoilfort,0,FALSE,FALSE,NA,NA
"#Brent crude ⬆️ inches up, U.S. #oil falls ⬇️ on weak economic data..
#crudeoil #opec #shale #oott 
https://t.co/BMKaINwvTA",FALSE,0,NA,2019-07-05T10:47:02Z,FALSE,NA,1147094528115073024,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlexisAshi,0,FALSE,FALSE,NA,NA
India's state-run Mangalore Refinery and Petrochemicals Ltd (#MRPL) has made its first purchase of U.S.-produced Th… https://t.co/71Wvd2Rkxb,FALSE,0,NA,2019-07-05T10:42:15Z,TRUE,NA,1147093326346063876,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",advisorymandi,0,FALSE,FALSE,NA,NA
"Hear our experts' overview of Commodity Pulse, with the  #podcast #Commodity #MCX #Metals #Bullion #CrudeOil… https://t.co/yuMlDoiim8",FALSE,1,NA,2019-07-05T10:17:17Z,TRUE,NA,1147087041777160192,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hdfcsec,0,FALSE,FALSE,NA,NA
"VLCC Grace 1, oil cargo seized for breaching EU sanctions on Syria: Gibraltar govt
https://t.co/xsuV0IEPSJ #VLCC… https://t.co/c4fbOAOsyk",FALSE,0,NA,2019-07-05T10:15:18Z,TRUE,NA,1147086544991395841,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SvetlanaModeva,0,FALSE,FALSE,NA,NA
Weak global demand concerns seem to be outweighing the recent proposal from the OPEC+ pact to extend supply curbs i… https://t.co/eDT7yLEWUL,FALSE,1,abhijitc4,2019-07-05T09:56:56Z,TRUE,1147081916513845248,1147081920477425664,2549505211,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhijitc4,0,FALSE,FALSE,NA,NA
"Oil Prices likely to rebound over the course of this year following the OPEC+ deal, supply concerns in #Iran #Libya… https://t.co/WrmcfHxhZD",FALSE,0,NA,2019-07-05T09:56:55Z,TRUE,NA,1147081916513845248,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",abhijitc4,1,FALSE,FALSE,NA,NA
"RT @PlattsOil: #Crudeoil futures stable to lower on growth concerns, seeks fresh cues https://t.co/1jmdqHBpXW https://t.co/CHmqkaPwUb",FALSE,0,NA,2019-07-05T09:53:55Z,FALSE,NA,1147081162206134273,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",oilhighlights,2,TRUE,FALSE,NA,NA
"VLCC Grace 1, oil cargo seized for breaching EU sanctions on Syria: Gibraltar govt
https://t.co/RJAiAGXcrN #VLCC… https://t.co/E9nbuHgUZN",FALSE,0,NA,2019-07-05T09:52:00Z,TRUE,NA,1147080679882145792,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",VesselFinder,0,FALSE,FALSE,NA,NA
"RT @PlattsOil: Benchmark #Dubaicrude oil futures spreads were up a tad in mid-morning trading in Asia, as #crudeoil market participants eva…",FALSE,0,NA,2019-07-05T09:37:34Z,FALSE,NA,1147077049254895616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",oilhighlights,3,TRUE,FALSE,NA,NA
"@OnlyStockTips Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity… https://t.co/pDoOcO4YxO",FALSE,0,OnlyStockTips,2019-07-05T09:32:36Z,TRUE,NA,1147075798827843584,71236272,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pratikool007,0,FALSE,FALSE,NA,NA
"@IndiaEtfs Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity #lupin… https://t.co/57lRo2B3Hh",FALSE,0,IndiaEtfs,2019-07-05T09:32:29Z,TRUE,NA,1147075768301654016,983704336424300545,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pratikool007,0,FALSE,FALSE,NA,NA
"@smartinvestor Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity… https://t.co/xdiffnllWY",FALSE,0,smartinvestor,2019-07-05T09:32:21Z,TRUE,NA,1147075736676605952,20769497,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pratikool007,0,FALSE,FALSE,NA,NA
"Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB
#NSE #MCX #equity #lupin #CrudeOil… https://t.co/tRIUvb9Ubn",FALSE,0,NA,2019-07-05T09:30:25Z,TRUE,NA,1147075246916169729,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Pratikool007,0,FALSE,FALSE,NA,NA
"Get Best #forex Signal
https://t.co/OF9YDXQEk4 
Whatsapp/Telegram+1(347)434-9044
#forextrading #ForexTrader… https://t.co/d0V2VNttjH",FALSE,1,NA,2019-07-05T09:24:49Z,TRUE,NA,1147073838733152262,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EquidiousSignal,0,FALSE,FALSE,NA,NA
"RT @macrohedged: Here is Friday's Crude Options surface overview: https://t.co/zEgMMwyniL

 #CL_F #CrudeOil #WTI $USO #OOTT $UCO $DBO #Bre…",FALSE,0,NA,2019-07-05T09:12:35Z,FALSE,NA,1147070758662955009,NA,"<a href=""https://testing123jp.webs.com/"" rel=""nofollow"">Testing123jp</a>",oilbot123,1,TRUE,FALSE,NA,NA
RT @riskstaff: Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil revenues. Cu…,FALSE,0,NA,2019-07-05T09:12:26Z,FALSE,NA,1147070724449996805,NA,"<a href=""https://testing123jp.webs.com/"" rel=""nofollow"">Testing123jp</a>",oilbot123,2,TRUE,FALSE,NA,NA
RT @riskstaff: Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil revenues. Cu…,FALSE,0,NA,2019-07-05T09:04:52Z,FALSE,NA,1147068817224298496,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Neerajtechnosys,2,TRUE,FALSE,NA,NA
"RT @Fx_Junkies: #UnionJackOil From Malcy's blog today: ""My view of #WestNewton has been clear, it is a massive discovery that has yet to be…",FALSE,0,NA,2019-07-05T09:01:42Z,FALSE,NA,1147068022500151297,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",charliecrane1,10,TRUE,FALSE,NA,NA
"Here is Friday's Crude Options surface overview: https://t.co/zEgMMwyniL

 #CL_F #CrudeOil #WTI $USO #OOTT $UCO $DBO #Brent $BNO $XLE",FALSE,1,NA,2019-07-05T09:00:08Z,FALSE,NA,1147067626880995328,NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>",macrohedged,1,FALSE,FALSE,NA,NA
Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil rev… https://t.co/w8B6wh9ui2,FALSE,2,NA,2019-07-05T09:00:00Z,TRUE,NA,1147067593632690176,NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>",riskstaff,2,FALSE,FALSE,NA,NA
"RT @GIS_Reports: NEW REPORT by Dr.@carole_nakhle on the disruptive power of American tight oil.

🆕➡️https://t.co/ZMcb8E9Y8q

#America 🌎 #No…",FALSE,0,NA,2019-07-05T08:58:53Z,FALSE,NA,1147067311347683328,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AccessWIE,2,TRUE,FALSE,NA,NA
